Candidate,Role,Stage,Source,Applied_Date,Last_Updated,Skills
Candidate_050,Cloud Engineer,Screening,Recruiter,2025-09-07,2025-10-03,Grafana;PowerShell;Networking;Ansible;CI/CD;Jenkins;GitHub Actions
Candidate_051,SRE,Interview,Referral,2025-08-16,2025-09-05,Docker;AWS;Azure;Python;Jenkins;GCP
Candidate_052,Cloud Engineer,Rejected,LinkedIn,2025-11-06,2025-11-10,Bash;Kubernetes;Ansible;Grafana;GCP;CI/CD
Candidate_053,Cloud Engineer,Interview,Recruiter,2025-08-24,2025-09-08,PowerShell;Terraform;Linux;AWS
Candidate_054,Cloud Engineer,Hired,LinkedIn,2025-11-01,2025-11-03,Grafana;AWS;Kubernetes;Networking
Candidate_055,SRE,Interview,Referral,2025-09-02,2025-09-16,GCP;CI/CD;PowerShell;Bash;Docker
Candidate_056,Platform Engineer,Rejected,LinkedIn,2025-08-23,2025-09-16,Prometheus;Docker;Azure;Python;Jenkins;PowerShell;Networking
Candidate_057,Cloud Engineer,Hired,Company Site,2025-08-21,2025-09-08,Jenkins;GCP;Bash;Terraform;Security;Ansible;Networking
Candidate_058,SRE,Interview,Referral,2025-10-13,2025-10-23,PowerShell;GCP;AWS;Terraform;Jenkins
Candidate_059,Cloud Engineer,Rejected,Job Board,2025-10-14,2025-11-03,Linux;PowerShell;Grafana;GCP;Bash
Candidate_060,Cloud Engineer,Screening,Company Site,2025-09-04,2025-09-12,GCP;Kubernetes;GitHub Actions;Azure;CI/CD;Jenkins;Ansible
Candidate_061,Platform Engineer,Screening,Company Site,2025-10-10,2025-10-22,Networking;CI/CD;Bash;Linux;AWS;Docker
Candidate_062,DevOps Engineer,Screening,Job Board,2025-09-06,2025-10-04,Python;GCP;Bash;Ansible;Jenkins
Candidate_063,DevOps Engineer,Applied,Company Site,2025-09-26,2025-09-28,Bash;CI/CD;GitHub Actions;AWS;Security;GCP
Candidate_064,DevOps Engineer,Screening,Referral,2025-08-20,2025-08-21,Grafana;Python;Kubernetes;CI/CD
Candidate_065,Cloud Engineer,Offer,Recruiter,2025-11-01,2025-11-10,Grafana;CI/CD;Jenkins;GCP;Ansible
Candidate_066,SRE,Applied,Company Site,2025-10-17,2025-11-04,Security;GCP;Jenkins;Kubernetes;CI/CD;Docker
Candidate_067,SRE,Offer,Recruiter,2025-10-14,2025-10-26,Kubernetes;Linux;AWS;Jenkins;CI/CD;Grafana
Candidate_068,SRE,Screening,Company Site,2025-08-18,2025-09-14,Ansible;AWS;Networking;Prometheus
Candidate_069,Cloud Engineer,Applied,Recruiter,2025-10-12,2025-10-26,PowerShell;Ansible;Azure;Jenkins;Bash;Networking
Candidate_070,SRE,Rejected,Company Site,2025-10-07,2025-10-09,Grafana;Linux;Security;Bash;AWS;Jenkins
Candidate_071,Platform Engineer,Rejected,Company Site,2025-09-04,2025-10-03,Terraform;Python;Jenkins;Bash;PowerShell;Linux
Candidate_072,SRE,Interview,LinkedIn,2025-10-07,2025-11-02,GitHub Actions;Azure;Kubernetes;CI/CD;PowerShell;Grafana;Python
Candidate_073,DevOps Engineer,Applied,Job Board,2025-10-03,2025-10-30,Linux;Security;Jenkins;PowerShell;Docker;Kubernetes
Candidate_074,DevOps Engineer,Interview,Recruiter,2025-09-01,2025-09-28,GCP;Python;PowerShell;Jenkins;Ansible;Azure
Candidate_075,SRE,Screening,Job Board,2025-10-12,2025-11-01,Terraform;Python;Kubernetes;Security
Candidate_076,SRE,Rejected,Referral,2025-09-13,2025-10-06,GCP;Docker;Terraform;Azure;PowerShell
Candidate_077,Cloud Engineer,Rejected,Company Site,2025-08-26,2025-09-06,CI/CD;AWS;Kubernetes;Linux
Candidate_078,DevOps Engineer,Interview,Recruiter,2025-09-10,2025-09-30,Terraform;Azure;Bash;Jenkins;CI/CD;Docker;Ansible
Candidate_079,SRE,Applied,Job Board,2025-08-18,2025-08-31,Bash;CI/CD;Security;GitHub Actions;Azure;Grafana
Candidate_080,DevOps Engineer,Offer,Company Site,2025-09-22,2025-10-19,CI/CD;Ansible;Bash;Jenkins;GCP;Linux
Candidate_081,Cloud Engineer,Interview,Referral,2025-09-16,2025-09-30,Grafana;Jenkins;Networking;PowerShell;GitHub Actions;GCP;Docker
Candidate_082,SRE,Rejected,LinkedIn,2025-09-03,2025-09-10,Docker;Grafana;GitHub Actions;Bash;CI/CD;Ansible
Candidate_083,DevOps Engineer,Offer,Company Site,2025-10-16,2025-11-09,Linux;Jenkins;GCP;GitHub Actions;Security;Prometheus;PowerShell
Candidate_084,Platform Engineer,Applied,Company Site,2025-10-07,2025-11-06,Grafana;Ansible;Terraform;Linux
Candidate_085,Cloud Engineer,Offer,Referral,2025-10-15,2025-10-18,Azure;CI/CD;Networking;Bash;PowerShell;Security
Candidate_086,Cloud Engineer,Applied,Recruiter,2025-09-18,2025-09-21,PowerShell;GitHub Actions;Linux;Python
Candidate_087,Cloud Engineer,Interview,Company Site,2025-09-29,2025-10-02,AWS;Ansible;Linux;Security;Grafana;Azure
Candidate_088,Cloud Engineer,Offer,Company Site,2025-08-18,2025-09-11,Prometheus;Terraform;Grafana;Azure;Python;Networking;Kubernetes
Candidate_089,DevOps Engineer,Rejected,LinkedIn,2025-10-29,2025-11-05,Python;CI/CD;AWS;Grafana;Security
Candidate_090,SRE,Screening,Company Site,2025-09-18,2025-10-14,Azure;Grafana;Prometheus;Python;CI/CD;Networking;Kubernetes
Candidate_091,SRE,Screening,Referral,2025-10-23,2025-11-11,Terraform;Bash;CI/CD;Ansible;Kubernetes
Candidate_092,DevOps Engineer,Interview,Recruiter,2025-08-23,2025-09-07,Jenkins;PowerShell;Kubernetes;Docker;Security;Prometheus;CI/CD
Candidate_093,DevOps Engineer,Interview,LinkedIn,2025-09-29,2025-10-10,CI/CD;Azure;Jenkins;Grafana;Ansible
Candidate_094,Cloud Engineer,Interview,Recruiter,2025-10-01,2025-10-04,AWS;Ansible;GCP;Prometheus;Security;Docker
Candidate_095,SRE,Screening,Job Board,2025-09-09,2025-09-30,Grafana;CI/CD;PowerShell;Networking;Bash;GCP
Candidate_096,DevOps Engineer,Screening,Recruiter,2025-10-12,2025-10-30,GitHub Actions;Docker;Bash;Python;Prometheus
Candidate_097,DevOps Engineer,Rejected,Job Board,2025-09-08,2025-09-27,Terraform;Python;Security;AWS;Networking
Candidate_098,DevOps Engineer,Applied,Referral,2025-08-22,2025-09-09,Grafana;Python;Networking;Terraform;Prometheus;Ansible;Bash
Candidate_099,Platform Engineer,Screening,Referral,2025-09-06,2025-09-10,GitHub Actions;Linux;Azure;Docker;Ansible;Terraform;GCP
Candidate_100,DevOps Engineer,Rejected,LinkedIn,2025-09-04,2025-09-07,Security;AWS;Python;Jenkins;Bash;Prometheus;Docker
Candidate_101,Platform Engineer,Applied,Job Board,2025-10-12,2025-10-19,Jenkins;AWS;GCP;Security
Candidate_102,Platform Engineer,Rejected,Recruiter,2025-10-07,2025-10-30,GCP;Kubernetes;Bash;Terraform;Docker;Networking
Candidate_103,Platform Engineer,Interview,Company Site,2025-09-07,2025-09-28,Terraform;GitHub Actions;Prometheus;PowerShell;AWS;Security
Candidate_104,Cloud Engineer,Rejected,Recruiter,2025-10-25,2025-11-03,Bash;Ansible;PowerShell;Jenkins;Python
Candidate_105,DevOps Engineer,Screening,LinkedIn,2025-11-06,2025-11-11,AWS;Kubernetes;CI/CD;Jenkins;Prometheus
Candidate_106,DevOps Engineer,Rejected,Company Site,2025-10-26,2025-11-11,Python;Linux;Terraform;Networking;Security
Candidate_107,Cloud Engineer,Rejected,Referral,2025-08-18,2025-09-11,Linux;CI/CD;Azure;Prometheus;Networking;Docker;AWS
Candidate_108,Platform Engineer,Applied,Referral,2025-09-25,2025-09-26,PowerShell;Ansible;Jenkins;GitHub Actions;Python;Terraform
Candidate_109,SRE,Screening,Referral,2025-08-16,2025-09-10,CI/CD;Ansible;AWS;Terraform;Python;Kubernetes;GCP
Candidate_110,DevOps Engineer,Interview,Referral,2025-08-21,2025-09-12,CI/CD;PowerShell;Ansible;Networking;Grafana;Python;Security
Candidate_111,Platform Engineer,Interview,Job Board,2025-08-22,2025-09-15,Bash;Python;Kubernetes;Grafana;AWS;Networking;Azure
Candidate_112,Cloud Engineer,Rejected,Recruiter,2025-09-24,2025-10-17,Jenkins;Bash;Azure;Terraform;Kubernetes;Docker;PowerShell
Candidate_113,Cloud Engineer,Screening,Referral,2025-10-05,2025-10-16,Prometheus;Kubernetes;Docker;GCP;PowerShell;Terraform
Candidate_114,DevOps Engineer,Screening,Recruiter,2025-09-23,2025-10-08,Linux;Jenkins;Security;Docker;Terraform;Networking
Candidate_115,Platform Engineer,Applied,Company Site,2025-09-24,2025-10-15,Kubernetes;Python;Security;Networking;Bash;GCP;Grafana
Candidate_116,DevOps Engineer,Interview,Referral,2025-11-02,2025-11-06,Grafana;Bash;Jenkins;GCP;GitHub Actions;Security
Candidate_117,DevOps Engineer,Interview,LinkedIn,2025-09-20,2025-10-06,Python;Ansible;Bash;GCP
Candidate_118,Platform Engineer,Applied,Recruiter,2025-10-08,2025-10-21,PowerShell;GitHub Actions;Ansible;Python;CI/CD;Bash;Docker
Candidate_119,Cloud Engineer,Rejected,Referral,2025-09-29,2025-10-18,GCP;Prometheus;Docker;CI/CD;Python;Grafana
Candidate_120,SRE,Rejected,Referral,2025-08-30,2025-09-27,GCP;Jenkins;Azure;Security;Bash
Candidate_121,DevOps Engineer,Interview,Company Site,2025-09-12,2025-09-21,Terraform;Jenkins;CI/CD;Networking
Candidate_122,SRE,Offer,LinkedIn,2025-10-04,2025-10-09,GCP;Prometheus;Azure;Python
Candidate_123,SRE,Applied,Recruiter,2025-09-06,2025-10-02,PowerShell;Jenkins;GCP;Python;Security
Candidate_124,Cloud Engineer,Hired,Company Site,2025-10-07,2025-10-22,PowerShell;GCP;Grafana;Ansible;Terraform
Candidate_125,DevOps Engineer,Applied,Referral,2025-08-13,2025-08-14,Docker;Grafana;PowerShell;Networking;Security
Candidate_126,SRE,Interview,Job Board,2025-11-04,2025-11-11,Grafana;Networking;Prometheus;AWS;Ansible
Candidate_127,DevOps Engineer,Screening,Recruiter,2025-09-08,2025-10-06,Terraform;GCP;Docker;Kubernetes;AWS
Candidate_128,Cloud Engineer,Interview,Job Board,2025-10-01,2025-10-24,Bash;Networking;Security;GitHub Actions;Linux;Ansible;GCP
Candidate_129,SRE,Interview,Referral,2025-08-15,2025-08-30,Jenkins;Security;Prometheus;Terraform;Bash;GCP;PowerShell
Candidate_130,SRE,Rejected,Job Board,2025-08-26,2025-09-16,Kubernetes;Security;Docker;Terraform;CI/CD;PowerShell;Grafana
Candidate_131,DevOps Engineer,Rejected,Job Board,2025-09-25,2025-10-08,Prometheus;GCP;GitHub Actions;Linux;Security;Bash;AWS
Candidate_132,SRE,Hired,LinkedIn,2025-10-04,2025-10-10,Ansible;Azure;CI/CD;Docker;Python;Jenkins;Bash
Candidate_133,Cloud Engineer,Rejected,Company Site,2025-10-11,2025-10-20,Jenkins;Bash;Linux;Security;Networking
Candidate_134,SRE,Rejected,LinkedIn,2025-08-15,2025-09-02,PowerShell;Networking;Grafana;Ansible;GitHub Actions
Candidate_135,Platform Engineer,Rejected,LinkedIn,2025-08-25,2025-09-09,Security;Docker;CI/CD;Terraform;GitHub Actions;Ansible;Prometheus
Candidate_136,Platform Engineer,Offer,Recruiter,2025-09-23,2025-10-07,Prometheus;Jenkins;Networking;Security;GitHub Actions
Candidate_137,DevOps Engineer,Interview,Company Site,2025-10-19,2025-11-06,Docker;CI/CD;Networking;Azure;Ansible
Candidate_138,DevOps Engineer,Applied,Referral,2025-09-24,2025-10-16,Docker;AWS;Bash;Grafana;CI/CD;Ansible;Python
Candidate_139,Cloud Engineer,Rejected,Company Site,2025-09-21,2025-10-12,CI/CD;Networking;GCP;Security
Candidate_140,Cloud Engineer,Applied,Job Board,2025-09-17,2025-09-29,Networking;Jenkins;Linux;Bash;Prometheus
Candidate_141,Cloud Engineer,Offer,Recruiter,2025-08-21,2025-09-20,GitHub Actions;Jenkins;Azure;Docker;Ansible;PowerShell;Kubernetes
Candidate_142,SRE,Applied,Referral,2025-09-15,2025-09-28,Linux;Docker;Kubernetes;Bash
Candidate_143,Cloud Engineer,Screening,Referral,2025-08-27,2025-09-19,AWS;Linux;Azure;Python;Bash;Prometheus
Candidate_144,Platform Engineer,Screening,LinkedIn,2025-11-01,2025-11-11,CI/CD;PowerShell;GCP;Python;Jenkins
Candidate_145,SRE,Hired,LinkedIn,2025-08-21,2025-08-25,AWS;Python;Docker;Kubernetes
Candidate_146,Cloud Engineer,Applied,Recruiter,2025-10-09,2025-10-25,Jenkins;CI/CD;Ansible;Security;GCP;GitHub Actions;Bash
Candidate_147,Platform Engineer,Applied,Recruiter,2025-09-04,2025-09-29,Python;Terraform;Security;AWS;Docker
Candidate_148,SRE,Applied,Referral,2025-10-22,2025-11-11,Grafana;Bash;Prometheus;Python;CI/CD;Linux
Candidate_149,DevOps Engineer,Applied,Recruiter,2025-10-25,2025-11-06,Ansible;Prometheus;Python;Grafana;Docker;AWS
Candidate_150,Platform Engineer,Applied,Recruiter,2025-10-31,2025-11-11,Azure;Kubernetes;AWS;Grafana;Bash;GitHub Actions
